User ID,Learning Interface,device_coded,,How would you rate your expertise with an oscilloscope?,inverse_rating,How familiar are you with oscilloscopes?,How long ago did you last use an oscilloscope? ,experience_score,What did you do with the oscilloscope?,Do you use other scientific instruments? ,How often do you use scientific instruments?,,What activities do you do with a device with a touch screen? [Send messages],What activities do you do with a device with a touch screen? [Play games],What activities do you do with a device with a touch screen? [Edit images],What activities do you do with a device with a touch screen? [Browse internet],What activities do you do with a device with a touch screen? [Organize schedule],tablet_experience,,What is your occupation? ,"In which field? (engineering, arts, architecture, etc)",What is your age?,What is your gender?
1,Tablet,1,,5,0,1,0,1,Never used one,Nothing,Never,,4,1,1,4,2,12,,student,Computer Science,21 - 30,Female
2,Tablet,1,,5,0,2,1,3,at school,none,Never,,4,1,1,4,0,10,,student,Computer Science,21 - 30,Female
3,Oscilloscope,0,,5,0,1,0,1,Never used one,"Accelerometer, Microscope, Telescope",Once or twice a year,,4,1,2,4,2,13,,student,Computer Science,21 - 30,Female
4,Tablet,1,,5,0,2,1,3,A lab for a class,"Accelerometer, Telescope",Every month,,4,2,0,4,1,11,,student,Computer Science,21 - 30,Male
5,Oscilloscope,0,,5,0,0,0,0,Never used one,"Accelerometer, Microscope, Telescope",Once or twice a year,,3,0,0,4,0,7,,student,Computer Science,21 - 30,Female
6,Oscilloscope,0,,5,0,1,0,1,Never used one,"Accelerometer, Spectogram",Three or four times a year,,3,1,0,1,0,5,,student,Computer Science,21 - 30,Male
8,Tablet,1,,5,0,0,0,0,Never used one,Microscope,Once or twice a year,,4,1,0,3,3,11,,student,Computer Science,21 - 30,Male
9,Oscilloscope,0,,4,1,2,1,4,A lab for a class,"Accelerometer, Microscope, Multimeter, Magnitometer",Every month,,4,3,1,4,1,13,,student,HCI,21 - 30,Male
10,Tablet,1,,5,0,1,0,1,Never used one,None,Never,,4,0,0,4,0,8,,student,Computer Science,21 - 30,Male
11,Oscilloscope,0,,3,2,2,1,5,A lab for a class,"Accelerometer, Micrometer",Once or twice a year,,3,2,1,3,2,11,,student,Computer Science,21 - 30,Male
12,Tablet,1,,5,0,2,1,3,A lab for a class,none,Never,,4,1,2,4,4,15,,student,Computer Science,21 - 30,Female
13,Oscilloscope,0,,4,1,1,0,2,Never used one,"Accelerometer, Microscope",Three or four times a year,,3,3,3,3,2,14,,student,Computer Science,21 - 30,Male
14,Tablet,1,,5,0,0,0,0,Never used one,"Accelerometer, Microscope, Telescope",Once or twice a year,,4,1,2,3,0,10,,student,HCI,21 - 30,Female
15,Oscilloscope,0,,5,0,1,0,1,Never used one,"Microscope, Telescope",Once or twice a year,,3,1,0,3,1,8,,student,urbanism,21 - 30,Female
16,Tablet,1,,3,2,2,1,5,A lab for a class,none,Never,,4,0,0,4,0,8,,student,Computer Science,31 - 40,Male
17,Oscilloscope,0,,4,1,2,1,4,A lab for a class,Multimeter,Never,,4,2,1,4,3,14,,student,Computer Science,21 - 30,Female
18,Tablet,1,,4,1,2,1,4,Research Project for Alevel,"Accelerometer, Microscope, Multimeter, Spectogram, Telescope",Every month,,4,3,2,4,4,17,,student,Computer Science,21 - 30,Male
19,Oscilloscope,0,,5,0,1,0,1,Never used one,"Accelerometer, Microscope, Multimeter",Three or four times a year,,4,2,1,4,2,13,,student,Computer Science,21 - 30,Female
20,Tablet,1,,5,0,0,0,0,Never used one,"Microscope, Telescope",Never,,3,2,0,4,1,10,,student,Computer Science,21 - 30,Male
21,Oscilloscope,0,,4,1,3,2,6,A lab for a class,None,Never,,4,0,0,3,2,9,,student,Computer Science,21 - 30,Male
22,Tablet,1,,5,0,1,0,1,Never used one,"Microscope, Telescope",Never,,3,1,1,4,3,12,,student,Media Architecture,21 - 30,Female
23,Oscilloscope,0,,5,0,0,0,0,Never used one,"Hydrometer, Microscope",Every month,,4,0,0,0,0,4,,student,geology,21 - 30,Female
24,Tablet,1,,5,0,0,0,0,Never used one,Microscope,Once or twice a year,,4,2,0,3,2,11,,student,Computer Science,21 - 30,Female
25,Oscilloscope,0,,4,1,3,2,6,A lab for a class,none,Three or four times a year,,3,3,2,4,1,13,,student,Computer Science,21 - 30,Male
26,Tablet,1,,3,2,2,1,5,solve a problem,Microscope,Once or twice a year,,4,4,3,4,4,19,,student,Computer Science,21 - 30,Male
27,Oscilloscope,0,,5,0,1,1,2,A lab for a class,"Accelerometer, Spectogram",Every week,,4,1,0,4,3,12,,student,Computer Science,21 - 30,Male
28,Tablet,1,,5,0,1,0,1,Never used one,"Accelerometer, Microscope, Multimeter, Telescope",Three or four times a year,,4,2,1,4,3,14,,student,Computer Science,21 - 30,Male
29,Oscilloscope,0,,4,1,1,0,2,Never used one,"Microscope, Telescope",Once or twice a year,,4,2,2,3,3,14,,student,Computer Science,21 - 30,Male
30,Tablet,1,,5,0,0,0,0,Never used one,Accelerometer,Once or twice a year,,3,3,2,3,2,13,,student,HCI,21 - 30,Male
