id,start_device,device_coded,time1,task1_solution,task1_coded,task1_assistance_count,time2,task2_solution,task2_coded,task2_assistance_count,time3,task3_solution,task3_coded,task3_assistance_count
1,tablet,1,2:15,complete,2,1,1:45,23V : 83V,2,0,3:33,20.33 Hz,2,1
2,tablet,1,8:36,complete,2,3,3:14,12 : 84uS,4,0,2:54,20.33 Hz,2,2
3,oscilloscope,0,0:34,complete,2,0,2:09,12V : 83.2uS,4,0,2:17,20.5 Hz,2,0
4,tablet,1,0:38,complete,2,0,1:15,12V : 83uS,4,0,4:20,50mS,0,1
5,oscilloscope,0,1:24,complete,2,0,1:22,12V : 80uS,3,0,5:57,20.16Hz,2,1
6,oscilloscope,0,0:38,complete,2,0,1:12,12V : 83uS,4,0,4:45,20Hz,2,2
8,tablet,1,0:47,complete,2,0,1:45,12V : 100 uS,2,1,4:17,36 mV,0,1
9,oscilloscope,0,2:06,complete,2,1,1:32,12V : 80ms,3,1,3:08,20.5Hz,2,1
10,tablet,1,1:40,complete,2,0,2:26,12V : 81uS,4,1,4:44,20Hz,2,2
11,oscilloscope,0,1:35,partial,1,0,1:25,2.5V : 25uS,0,0,3:30,0.06,0,1
12,tablet,1,3:49,complete,2,2,1:24,12V : 80uS,3,1,3:31,0.021kHz,2,1
13,oscilloscope,0,5:52,partial,1,2,3:19,12V : 2S,2,1,4:34,20.49Hz,2,2
14,tablet,1,1:57,complete,2,0,1:25,12V : 80uS,3,0,7:59,20.24Hz,2,2
15,oscilloscope,0,2:03,complete,2,1,1:06,12V : 82uS,4,0,5:03,20.33Hz,2,3
16,tablet,1,2:51,partial,1,1,1:45,102mV : 80uS,1,0,2:56,20Hz,2,1
17,oscilloscope,0,1:11,complete,2,0,1:28,12V : 82uS,4,0,5:21,20.16Hz,2,2
18,tablet,1,1:17,complete,2,0,1:02,12V : 120uS,2,0,3:40,20.24Hz,2,1
19,oscilloscope,0,0:50,complete,2,0,0:34,12V : 80uS,3,0,3:54,20Hz,2,1
20,tablet,1,4:33,complete,2,2,2:08,12V : 80uS,3,0,6:09,20.41Hz,2,2
21,oscilloscope,0,3:10,partial,1,1,1:05,12V : 80uS,3,0,2:30,20.29Hz,2,1
22,tablet,1,3:25,complete,2,1,0:59,12V : 80uS,3,0,11:17,20.33Hz,2,4
23,oscilloscope,0,1:58,complete,2,1,1:39,12V : 80uS,3,1,3:43,20.00Hz,2,1
24,tablet,1,3:30,complete,2,1,1:43,20.4V : 40uS,0,0,5:32,20.33Hz,2,2
25,oscilloscope,0,2:35,complete,2,0,2:21,12V : 120uS,2,0,1:21,20.00Hz,2,1
26,tablet,1,1:15,partial,1,1,1:22,12V : 120uS,2,0,4:12,20.49Hz,2,2
